label,value,category,x,y
pocket_SE_retention,3.50,landmark,1010.69,950.62
grate_SW,3.52,landmark,913.41,957.26
grate_SE,3.60,landmark,1001.85,1001.47
corner_SE,3.64,landmark,1077.02,899.77
corner_SW,3.64,landmark,962.05,848.92
grate_bay_ave_upstream,3.64,landmark,1455.08,986.0
gutter_walkway,3.78,landmark,1267.15,888.72
grate_NE,3.80,landmark,1136.71,817.97
grate_NW,3.80,landmark,1019.53,747.22
corner_NE,3.91,landmark,1132.29,784.81
corner_NW,3.91,landmark,1010.69,716.27
curb,4.16,landmark,1278.21,855.55
road_middle,4.36,landmark,1247.25,926.3
intersection_highpoint,4.54,landmark,1077.02,833.45
lawn_step,4.58,landmark,1300.31,813.55
porch_step,5.08,landmark,1322.42,784.81
cross_bay,3.75,extra,1225.14,970.52
cross_bay_sidewalk,4.15,extra,1214.09,990.42
middle_bay_E,4.32,extra,1147.76,873.24
intersection_center,4.51,extra,1035.01,815.76
middle_bay_W,4.34,extra,928.89,764.91
grate_SW_sidewalk,4.1,extra,873.61,937.36
grate_SE_sidewalk,4.12,extra,1023.95,1010.32
central_south_middle,3.91,extra,953.21,981.57
central_north_middle_1,4.37,extra,1088.07,740.59
central_north_middle_2,4.44,extra,1127.87,674.26
central_north_middle_3,4.7,extra,1249.46,442.12
central_neighbor1_middle_1,5,extra,1399.8,163.55
central_north_proximal_1,3.87,extra,1165.45,691.95
central_north_proximal_1_sidewalk,4.2,extra,1183.14,698.58
central_north_proximal_2,4.08,extra,1287.05,464.23
central_north_proximal_2_sidewalk,4.41,extra,1306.95,475.28
central_north_proximal_3,4.19,extra,1344.53,364.74
central_north_proximal_3_sidewalk,4.52,extra,1368.85,375.79
central_neighbor1_proximal_1,4.32,extra,1441.81,183.45
central_neighbor1_proximal_1_sidewalk,4.65,extra,1461.71,196.71
central_north_distal_1,4.05,extra,1083.65,647.73
central_north_distal_1_sidewalk,4.38,extra,1059.33,627.83
central_north_distal_neighbor_driveway,4.15,extra,1143.34,521.71
central_north_distal_2,4.25,extra,1211.88,411.17
central_north_distal_2_sidewalk,4.75,extra,1183.14,389.06
central_neighbor1_distal_1,4.47,extra,1342.32,161.34
central_neighbor1_distal_1_sidewalk,4.97,extra,1318.0,148.07
bay_ave_west_middle_1,4.3,extra,807.29,696.37
sw_crosswalk_distal,3.85,extra,836.03,762.7
sw_crosswalk_distal_sidewalk,4.19,extra,820.55,773.75
nw_crosswalk_distal,3.91,extra,862.56,663.21
nw_crosswalk_distal_sidewalk,4.49,extra,871.4,641.1
bay_end_carsyns_house,4.03,extra,513.24,477.49
bay_end_carsyns_house_sidewalk,4.64,extra,522.08,448.75
bay_middle_carsyns_house_cross_bay_sidewalk,4.52,extra,592.83,661.0
upstream_grate_sidewalk,4.14,approximated,1466.13,957.26
a2,3.77,approximated,1375.48,941.78
a3,4.15,approximated,1384.33,913.04
a4,4.15,approximated,1322.42,1045.69
a5,3.75,approximated,1333.48,1021.37
a6,4.14,approximated,1402.02,1089.91
a7,3.76,approximated,1415.28,1065.59
a8,3.79,approximated,1211.88,855.55
a9,4.48,approximated,1123.44,506.23
a10,4.54,approximated,1186.92,537.19
a11,4.15,approximated,1231.14,554.87
a12,4.86,approximated,1255.46,265.25
a13,4.58,approximated,1414.64,282.94
a14,3.97,approximated,713.79,585.83
a15,4.57,approximated,707.16,548.24
a16,3.92,approximated,605.46,636.68
a17,3.99,approximated,466.18,557.09
a18,4.59,approximated,448.49,576.98
a19,4.36,approximated,662.94,610.15
a20,4.43,approximated,488.28,521.71
a21,4.36,approximated,1279.78,280.72
a22,4.18,approximated,1392.54,276.3
a23,3.5,approximated,992.37,972.73
a24,3.5,approximated,1027.74,928.51
a25,4.57,approximated,1408.01,866.61
a26,4.56,approximated,1496.45,908.62
a27,4.59,approximated,1259.88,787.02
a28,4.6,approximated,1215.67,764.91
a29,4.35,approximated,1354.95,977.15
a30,4.34,approximated,1438.96,1021.37
a31,7.5,approximated,1370.43,800.28
a32,14.5,approximated,1381.48,780.38
a33,14.5,approximated,1480.97,829.02
a34,14.5,approximated,1288.62,736.17
a35,14.5,approximated,1335.05,636.68
a36,14.5,approximated,1381.48,550.45
a37,14.5,approximated,1414.64,475.28
a38,14.5,approximated,1562.77,778.17
a39,14.5,approximated,1489.82,444.33
a40,4.8,approximated,1014.47,588.04
a41,4.9,approximated,1076.38,470.86
a42,5.17,approximated,1138.28,355.89
a43,5.28,approximated,1209.03,225.45
a44,5.39,approximated,1270.94,106.06
a45,4.1,approximated,906.14,853.34
