MRMS PrecipRate over the hillside box, event window (ET = UTC-4)
stamp_ET, box_mean_in_hr, box_max_in_hr
14:40, 0.01, 0.02
14:44, 0.17, 0.94
14:48, 1.16, 2.36
14:52, 1.16, 2.06
14:56, 1.28, 2.42
15:00, 0.68, 1.37
15:04, 1.56, 1.95
15:08, 1.99, 2.83
15:12, 1.65, 2.09
15:16, 0.11, 0.21
15:20, 0.12, 0.66
15:24, 0.01, 0.02
15:28, 0.06, 0.09
15:32, 0.06, 0.08
15:36, 0.06, 0.10
15:40, 0.03, 0.05
15:44, 0.05, 0.08
15:48, 0.14, 0.22
15:52, 0.05, 0.12
15:56, 0.05, 0.07
16:00, 0.08, 0.10
16:04, 0.12, 0.15
16:08, 0.05, 0.07
16:12, 0.04, 0.06
16:16, 0.03, 0.05
16:20, 0.06, 0.09
16:24, 0.11, 0.16
16:28, 0.13, 0.28
16:32, 0.23, 0.58
16:36, 0.12, 0.19
16:40, 0.06, 0.14
