forecast_run_date,forecast_peak_predicted_mllw,forecast_peak_predicted_time,forecast_regime,actual_peak_observed_mllw,actual_peak_observed_time,mllw_error_ft
2026-05-18,6.193,2026-05-18 21:58,street,6.367,2026-05-18 21:18,-0.17400000000000038
2026-05-19,5.927,2026-05-19 22:56,dry,5.488,2026-05-19 21:36,0.43899999999999917,low
2026-05-20,5.622,2026-05-20 23:57,dry,5.409,2026-05-20 23:06,0.21300000000000008,medium
2026-05-21,5.329,2026-05-22 00:58,dry,4.72,2026-05-21 23:06,0.609,low
2026-05-22,5.059,2026-05-23 01:55,dry,5.357,2026-05-23 01:12,-0.29800000000000004,low
2026-05-23,5.1705,2026-05-25 16:27,dry,4.195,2026-05-25 14:30,0.9754999999999994,medium
2026-05-24,6.0264999999999995,2026-05-26 17:19,street,4.779,2026-05-26 15:36,1.2474999999999996,medium
2026-05-25,6.075800000000001,2026-05-27 18:07,street,5.199,2026-05-27 16:36,0.8768000000000011,medium
2026-05-26,5.8389999999999995,2026-05-28 18:50,dry,5.531,2026-05-28 17:30,0.30799999999999983,medium
2026-05-27,5.8624,2026-05-29 19:30,dry,5.209,2026-05-29 17:30,0.6534000000000004,low
2026-05-28,6.222799999999999,2026-05-30 20:07,street,5.403,2026-05-30 18:12,0.8197999999999999,low
2026-05-29,6.1728,2026-05-30 20:07,street,5.403,2026-05-30 18:12,0.7698,medium
2026-05-30,6.0329999999999995,2026-05-30 20:07,street,6.538,2026-05-30 20:36,-0.5050000000000008,low
2026-05-31,6.4159999999999995,2026-05-31 20:44,street,6.17,2026-05-31 20:42,0.24599999999999955,medium
2026-06-01,5.981999999999999,2026-06-01 21:21,dry,6.006,2026-06-01 20:48,-0.02400000000000091,medium
2026-06-02,5.607,2026-06-02 21:58,dry,5.517,2026-06-02 20:54,0.08999999999999986,medium
2026-06-03,5.3924,2026-06-03 22:35,dry,4.93,2026-06-03 20:54,0.4624000000000006,low
2026-06-04,5.2692000000000005,2026-06-04 23:16,dry,4.851,2026-06-04 21:42,0.41820000000000057,medium
