generated_utc,arm,phase,outcome,active,source_age_min,detail
2026-09-03T00:08:38Z,legacy-unknown,publish,ok,0,4.6,
2026-09-03T03:52:46Z,legacy-unknown,publish,ok,0,2.8,
2026-09-03T04:03:00Z,legacy-unknown,publish,ok,0,3.0,
2026-09-03T04:13:14Z,legacy-unknown,publish,ok,0,3.2,
2026-09-03T04:23:29Z,legacy-unknown,publish,ok,0,3.5,
2026-09-03T04:33:44Z,legacy-unknown,publish,ok,0,3.7,
2026-09-03T04:40:08Z,legacy-unknown,publish,ok,0,4.1,
2026-09-03T04:43:58Z,legacy-unknown,publish,ok,0,4.0,
2026-09-03T04:54:12Z,legacy-unknown,publish,ok,0,4.2,
2026-09-03T05:04:27Z,legacy-unknown,publish,ok,0,4.5,
2026-09-03T05:14:41Z,legacy-unknown,publish,ok,0,4.7,
2026-09-03T05:24:55Z,legacy-unknown,publish,ok,0,2.9,
2026-09-03T05:30:30Z,legacy-unknown,publish,ok,0,4.5,
2026-09-03T05:35:10Z,legacy-unknown,publish,ok,0,3.2,
2026-09-03T05:45:24Z,legacy-unknown,publish,ok,1,3.4,
2026-09-03T05:55:37Z,legacy-unknown,publish,ok,0,3.6,
2026-09-03T06:05:52Z,legacy-unknown,publish,ok,0,3.9,
2026-09-03T06:16:06Z,legacy-unknown,publish,ok,1,4.1,
2026-09-03T06:26:20Z,legacy-unknown,publish,ok,0,4.3,
2026-09-03T06:33:13Z,legacy-unknown,publish,ok,0,3.2,
2026-09-03T06:36:35Z,legacy-unknown,publish,ok,0,4.6,
2026-09-03T06:46:49Z,legacy-unknown,publish,ok,0,4.8,
2026-09-03T06:52:43Z,legacy-unknown,publish,ok,0,2.7,
2026-09-03T06:57:03Z,legacy-unknown,publish,ok,0,3.1,
2026-09-03T07:01:09Z,legacy-unknown,publish,ok,0,3.2,
2026-09-03T07:07:17Z,legacy-unknown,publish,ok,0,3.3,
2026-09-03T07:17:31Z,legacy-unknown,publish,ok,0,3.5,
2026-09-03T07:24:17Z,legacy-unknown,publish,ok,0,4.3,
2026-09-03T07:27:45Z,legacy-unknown,publish,ok,0,3.8,
2026-09-03T07:37:59Z,legacy-unknown,publish,ok,0,4.0,
2026-09-03T07:42:00Z,legacy-unknown,publish,ok,0,4.0,
2026-09-03T07:48:13Z,legacy-unknown,publish,ok,0,4.2,
2026-09-03T07:49:37Z,legacy-unknown,publish,ok,0,3.6,
2026-09-03T07:56:47Z,legacy-unknown,publish,ok,0,4.8,
2026-09-03T07:58:27Z,legacy-unknown,publish,ok,0,4.5,
2026-09-03T08:08:41Z,legacy-unknown,publish,ok,0,4.7,
2026-09-03T08:18:55Z,legacy-unknown,publish,ok,0,4.9,
2026-09-03T08:27:59Z,legacy-unknown,publish,ok,0,4.0,
2026-09-03T08:29:08Z,legacy-unknown,publish,ok,0,3.1,
2026-09-03T08:39:22Z,legacy-unknown,publish,ok,0,3.4,
2026-09-03T08:45:44Z,legacy-unknown,publish,ok,0,3.7,
2026-09-03T08:49:37Z,legacy-unknown,publish,ok,0,3.6,
2026-09-03T08:56:12Z,legacy-unknown,publish,ok,0,4.2,
2026-09-03T08:59:51Z,legacy-unknown,publish,ok,0,3.9,
2026-09-03T09:10:05Z,legacy-unknown,publish,ok,0,4.1,
2026-09-03T09:20:19Z,legacy-unknown,publish,ok,0,4.3,
2026-09-03T09:22:56Z,legacy-unknown,publish,ok,0,2.9,
2026-09-03T09:30:33Z,legacy-unknown,publish,ok,0,4.6,
2026-09-03T09:33:59Z,legacy-unknown,publish,ok,0,4.0,
2026-09-03T09:40:47Z,legacy-unknown,publish,ok,0,4.8,
2026-09-03T09:46:35Z,legacy-unknown,publish,ok,0,4.6,
2026-09-03T09:51:02Z,legacy-unknown,publish,ok,0,3.0,
2026-09-03T09:55:44Z,legacy-unknown,publish,ok,0,3.7,
2026-09-03T10:01:16Z,legacy-unknown,publish,ok,0,3.3,
2026-09-03T10:11:30Z,legacy-unknown,publish,ok,0,3.5,
2026-09-03T10:20:57Z,legacy-unknown,publish,ok,0,3.0,
2026-09-03T10:21:45Z,legacy-unknown,publish,ok,0,3.8,
2026-09-03T10:31:37Z,legacy-unknown,publish,ok,0,3.6,
2026-09-03T10:40:55Z,legacy-unknown,publish,ok,0,4.9,
2026-09-03T10:48:07Z,legacy-unknown,publish,ok,0,4.1,
2026-09-03T10:55:28Z,legacy-unknown,publish,ok,0,3.5,
2026-09-03T11:17:00Z,legacy-unknown,publish,ok,0,3.0,
2026-09-03T11:27:47Z,legacy-unknown,publish,ok,0,3.8,
2026-09-03T11:38:53Z,legacy-unknown,publish,ok,0,2.9,
2026-09-03T11:46:02Z,legacy-unknown,publish,ok,0,4.0,
2026-09-03T11:55:30Z,legacy-unknown,publish,ok,0,3.5,
2026-09-04T06:33:09Z,legacy-unknown,publish,ok,1,3.2,
2026-09-12T06:29:36Z,legacy-unknown,publish,ok,0,3.6,
2026-09-12T06:47:45Z,legacy-unknown,publish,ok,0,3.8,
2026-09-12T06:56:06Z,legacy-unknown,publish,ok,0,4.1,
2026-09-12T07:18:24Z,legacy-unknown,publish,ok,0,4.4,
2026-09-12T07:28:27Z,legacy-unknown,publish,ok,0,4.5,
2026-09-12T07:37:50Z,legacy-unknown,publish,ok,0,3.8,
2026-09-12T07:45:22Z,legacy-unknown,publish,ok,0,3.4,
2026-09-12T07:55:32Z,legacy-unknown,publish,ok,0,3.5,
2026-09-12T08:22:53Z,legacy-unknown,publish,ok,0,2.9,
2026-09-12T08:33:58Z,legacy-unknown,publish,ok,0,4.0,
2026-09-12T08:47:17Z,legacy-unknown,publish,ok,0,3.3,
2026-09-12T08:55:42Z,legacy-unknown,publish,ok,0,3.7,
2026-09-12T09:18:35Z,legacy-unknown,publish,ok,0,4.6,
2026-09-12T09:28:37Z,legacy-unknown,publish,ok,0,4.6,
2026-09-12T09:38:13Z,legacy-unknown,publish,ok,0,4.2,
2026-09-12T09:45:20Z,legacy-unknown,publish,ok,0,3.3,
