year,mean_mllw
1910,2.552681449569184
1911,2.3973485329103887
1912,2.331586198211812
1913,2.239805124747134
1914,2.4155643756050336
1915,2.4891642829532277
1916,2.381857089036795
1933,1.8286619863013698
1934,1.7438852291586875
1935,1.8121207762557077
1936,1.809934130966165
1937,1.916522488584475
1938,1.9335482954545455
1940,1.927277436247723
1941,1.8427319634703196
1942,1.9469723712752596
1943,1.8322003424657536
1944,1.8928402777777777
1945,2.002988812785388
1946,1.998897602739726
1947,1.9646202054794522
1948,2.136874430783242
1949,2.000504908675799
1950,1.928952397260274
1951,2.1514432648401827
1952,2.162945469034608
1953,2.192704566210046
1954,2.1173468036529677
1955,2.1930688356164385
1956,2.2267802823315117
1957,2.09879098173516
1958,2.313430300851013
1959,2.112445890410959
1960,2.349189189189189
1961,2.2916481735159815
1962,2.25725102739726
1963,2.093450598802395
1964,2.1449255464480874
1965,2.1880109589041092
1966,2.2441500000000003
1967,2.312748069272174
1968,2.215428758481133
1969,2.379810366480192
1970,2.364073638901815
1971,2.453307797693801
1972,2.565657946521588
1973,2.512867907295353
1974,2.3243182790587116
1975,2.4127889028427902
1976,2.2076416676371258
1977,2.357566813307671
1978,2.4257922561429637
1979,2.345877469879518
1980,2.355251400464544
1982,2.346136773604293
1983,2.6639140708915146
1984,2.5745906865535697
1985,2.4452932983217264
1986,2.5046812421509306
1987,2.5718303459299006
1988,2.3858860298303544
1989,2.421844274460555
1990,2.3936444799634664
1991,2.490196141111999
1992,2.5431843333712854
1993,2.667695225039982
1994,2.477145107889028
1995,2.558785706130837
1996,2.768153991200503
1997,2.7055051946569244
1998,2.839878867450622
1999,2.6515612979351033
2000,2.6256689058408287
2001,2.659388514670624
2002,2.6025158123073413
2003,2.710565247174335
2004,2.7137767277695546
2005,2.9308677931270695
2006,2.8405546295239184
2007,2.6782424934353237
2008,2.810089514066496
2009,2.9451435095330516
2010,3.0623555200365336
2011,3.0282270807169764
2012,2.9494718686354378
2013,2.9034948053430756
2014,2.946065190090193
2015,2.8193887430071927
2016,2.9271570436169005
2017,2.979998173307455
2018,3.032952962666971
2019,3.1250098184724284
2020,3.0820744620289195
2021,3.095168398218975
2022,3.040394793926247
2023,3.3259859573010617
2024,3.3168524422179213
2025,3.0560293412490007
