year,nuisance,middle,storm
1912,1,0,0
1913,0,1,0
1914,4,1,0
1915,3,1,0
1917,1,0,0
1918,1,2,0
1922,3,0,0
1926,1,0,0
1932,2,0,0
1933,2,0,0
1935,1,0,0
1938,1,0,0
1943,1,0,0
1944,1,0,1
1945,1,0,0
1947,1,0,0
1950,1,0,2
1951,1,0,0
1953,2,1,1
1954,0,1,0
1955,3,1,0
1956,1,0,0
1958,2,1,0
1959,3,0,0
1960,0,0,1
1961,11,1,0
1962,1,2,3
1965,1,0,0
1966,1,0,1
1967,1,0,0
1968,1,0,1
1969,2,1,0
1970,2,0,0
1971,2,0,0
1972,3,3,0
1973,3,0,0
1974,1,1,0
1976,1,0,0
1977,3,3,0
1978,1,1,0
1979,4,0,0
1980,2,1,0
1981,1,0,0
1983,6,0,0
1984,2,0,1
1985,2,0,1
1986,1,1,0
1987,1,0,1
1989,1,1,0
1990,2,0,0
1991,0,1,1
1992,7,2,2
1993,7,0,1
1994,3,2,0
1995,1,1,0
1996,1,2,0
1997,3,2,0
1998,4,4,0
1999,2,0,0
2000,5,0,0
2001,2,0,0
2002,2,1,0
2003,11,2,0
2004,3,0,0
2005,14,0,0
2006,4,4,0
2007,7,4,0
2008,6,2,0
2009,7,5,0
2010,7,2,1
2011,11,3,1
2012,11,3,2
2013,7,3,0
2014,10,2,0
2015,8,1,0
2016,9,8,0
2017,20,3,0
2018,13,10,1
2019,12,3,0
2020,11,2,0
2021,11,3,0
2022,12,2,1
2023,18,1,0
2024,24,8,1
2025,6,4,0
2026,2,0,0
