year,flood_days
1912,1
1913,1
1914,5
1915,4
1933,2
1935,1
1938,1
1943,1
1944,2
1945,1
1947,1
1950,2
1951,1
1953,4
1954,1
1955,4
1956,1
1958,3
1959,3
1960,1
1961,9
1962,4
1965,1
1966,2
1967,1
1968,2
1969,3
1970,2
1971,2
1972,7
1973,3
1974,2
1976,1
1977,4
1978,2
1979,4
1980,2
1983,6
1984,2
1985,3
1986,2
1987,2
1989,2
1990,2
1991,2
1992,8
1993,9
1994,5
1995,2
1996,3
1997,5
1998,6
1999,2
2000,4
2001,2
2002,3
2003,13
2004,3
2005,12
2006,7
2007,9
2008,7
2009,9
2010,9
2011,14
2012,13
2013,9
2014,11
2015,7
2016,13
2017,24
2018,22
2019,14
2020,12
2021,13
2022,14
2023,18
2024,32
2025,9
