month,n_days,p25_mllw,p50_mllw,p75_mllw,p90_mllw,p95_mllw,p99_mllw,max_mllw,window
1,921,4.661,5.229,5.816,6.397,6.748,7.6388,8.519,1996-2025 (30 yrs)
2,836,4.585,5.137,5.737,6.277,6.6385000000000005,7.36995,8.122,1996-2025 (30 yrs)
3,930,4.7,5.231999999999999,5.89725,6.4449,6.774,7.595200000000001,8.893,1996-2025 (30 yrs)
4,900,4.99425,5.468,5.92875,6.467600000000001,6.853149999999999,7.53517,8.103,1996-2025 (30 yrs)
5,930,5.13475,5.55,6.05425,6.479,6.7662999999999975,7.335,7.739,1996-2025 (30 yrs)
6,900,5.30625,5.695,6.08575,6.525600000000001,6.748,7.086,7.949,1996-2025 (30 yrs)
7,930,5.272,5.6795,6.072,6.44,6.684649999999999,6.962300000000001,7.46,1996-2025 (30 yrs)
8,916,5.288,5.647,6.064500000000001,6.449,6.68675,7.05555,9.638,1996-2025 (30 yrs)
9,897,5.314,5.704,6.197,6.5816,6.862999999999999,7.361679999999999,7.863,1996-2025 (30 yrs)
10,919,5.1355,5.636,6.254,6.764,6.986299999999998,7.611719999999997,12.027,1996-2025 (30 yrs)
11,870,4.944,5.4275,5.95625,6.4987,6.84495,7.345929999999999,7.991,1996-2025 (30 yrs)
12,924,4.772,5.321,5.95475,6.4648,6.829549999999998,7.408729999999999,8.877,1996-2025 (30 yrs)
