threshold_label,threshold_ft,month,years_observed,avg_events_per_month,avg_hours_per_month,max_peak_mllw,max_duration_h
6.58 (curb / flood onset),6.58,1,101,1.1584158415841583,2.4257425742574257,8.887,5
6.58 (curb / flood onset),6.58,2,98,0.8061224489795918,1.6224489795918366,8.277,5
6.58 (curb / flood onset),6.58,3,102,1.196078431372549,2.6470588235294117,9.287,7
6.58 (curb / flood onset),6.58,4,102,1.2549019607843137,2.3627450980392157,8.444,5
6.58 (curb / flood onset),6.58,5,100,0.99,1.75,7.739,4
6.58 (curb / flood onset),6.58,6,101,0.8613861386138614,1.3564356435643565,7.949,4
6.58 (curb / flood onset),6.58,7,101,0.693069306930693,1.0297029702970297,7.46,3
6.58 (curb / flood onset),6.58,8,102,0.8627450980392157,1.4607843137254901,9.638,5
6.58 (curb / flood onset),6.58,9,101,1.386138613861386,2.5445544554455446,9.888,6
6.58 (curb / flood onset),6.58,10,102,2.0784313725490198,4.137254901960785,12.027,7
6.58 (curb / flood onset),6.58,11,100,1.26,2.62,9.687,7
6.58 (curb / flood onset),6.58,12,101,1.4257425742574257,3.0495049504950495,9.635,8
7.00 (lawn),7.0,1,101,0.5544554455445545,1.1584158415841583,8.887,4
7.00 (lawn),7.0,2,98,0.3469387755102041,0.6836734693877551,8.277,5
7.00 (lawn),7.0,3,102,0.43137254901960786,1.0588235294117647,9.287,6
7.00 (lawn),7.0,4,102,0.46078431372549017,0.7352941176470589,8.444,4
7.00 (lawn),7.0,5,100,0.27,0.4,7.739,3
7.00 (lawn),7.0,6,101,0.16831683168316833,0.2376237623762376,7.949,3
7.00 (lawn),7.0,7,101,0.0594059405940594,0.09900990099009901,7.46,2
7.00 (lawn),7.0,8,102,0.16666666666666666,0.2549019607843137,9.638,4
7.00 (lawn),7.0,9,101,0.42574257425742573,0.7029702970297029,9.888,3
7.00 (lawn),7.0,10,102,0.7254901960784313,1.4901960784313726,12.027,7
7.00 (lawn),7.0,11,100,0.46,0.94,9.687,5
7.00 (lawn),7.0,12,101,0.594059405940594,1.1782178217821782,9.635,8
7.20 (dashboard Minor),7.2,1,101,0.36633663366336633,0.7227722772277227,8.887,4
7.20 (dashboard Minor),7.2,2,98,0.23469387755102042,0.41836734693877553,8.277,3
7.20 (dashboard Minor),7.2,3,102,0.30392156862745096,0.7156862745098039,9.287,5
7.20 (dashboard Minor),7.2,4,102,0.2549019607843137,0.45098039215686275,8.444,4
7.20 (dashboard Minor),7.2,5,100,0.15,0.24,7.739,2
7.20 (dashboard Minor),7.2,6,101,0.04950495049504951,0.0891089108910891,7.949,3
7.20 (dashboard Minor),7.2,7,101,0.0297029702970297,0.04950495049504951,7.46,2
7.20 (dashboard Minor),7.2,8,102,0.0784313725490196,0.11764705882352941,9.638,4
7.20 (dashboard Minor),7.2,9,101,0.21782178217821782,0.33663366336633666,9.888,3
7.20 (dashboard Minor),7.2,10,102,0.5,1.0196078431372548,12.027,6
7.20 (dashboard Minor),7.2,11,100,0.28,0.57,9.687,5
7.20 (dashboard Minor),7.2,12,101,0.38613861386138615,0.7821782178217822,9.635,7
7.70 (NWS Moderate),7.7,1,101,0.09900990099009901,0.16831683168316833,8.887,3
7.70 (NWS Moderate),7.7,2,98,0.05102040816326531,0.11224489795918367,8.277,3
7.70 (NWS Moderate),7.7,3,102,0.13725490196078433,0.3333333333333333,9.287,5
7.70 (NWS Moderate),7.7,4,102,0.058823529411764705,0.09803921568627451,8.444,3
7.70 (NWS Moderate),7.7,5,100,0.01,0.01,7.739,1
7.70 (NWS Moderate),7.7,6,101,0.009900990099009901,0.019801980198019802,7.949,2
7.70 (NWS Moderate),7.7,7,101,0.0,0.0,,0
7.70 (NWS Moderate),7.7,8,102,0.0196078431372549,0.049019607843137254,9.638,4
7.70 (NWS Moderate),7.7,9,101,0.0594059405940594,0.07920792079207921,9.888,2
7.70 (NWS Moderate),7.7,10,102,0.11764705882352941,0.24509803921568626,12.027,5
7.70 (NWS Moderate),7.7,11,100,0.07,0.19,9.687,5
7.70 (NWS Moderate),7.7,12,101,0.1188118811881188,0.2376237623762376,9.635,7
8.70 (NWS Major),8.7,1,101,0.009900990099009901,0.009900990099009901,8.887,1
8.70 (NWS Major),8.7,2,98,0.0,0.0,,0
8.70 (NWS Major),8.7,3,102,0.0392156862745098,0.06862745098039216,9.287,2
8.70 (NWS Major),8.7,4,102,0.0,0.0,,0
8.70 (NWS Major),8.7,5,100,0.0,0.0,,0
8.70 (NWS Major),8.7,6,101,0.0,0.0,,0
8.70 (NWS Major),8.7,7,101,0.0,0.0,,0
8.70 (NWS Major),8.7,8,102,0.00980392156862745,0.029411764705882353,9.638,3
8.70 (NWS Major),8.7,9,101,0.019801980198019802,0.0297029702970297,9.888,2
8.70 (NWS Major),8.7,10,102,0.0196078431372549,0.058823529411764705,12.027,3
8.70 (NWS Major),8.7,11,100,0.04,0.07,9.687,3
8.70 (NWS Major),8.7,12,101,0.019801980198019802,0.04950495049504951,9.635,4
