landmark_key,landmark_label,threshold_ft,month,avg_events_per_month,avg_flood_days_per_month,avg_flood_hours_per_month,descriptor,window
grate_SW,SW distal grate across Bay,6.34,1,3.966666666666667,3.433333333333333,8.766666666666667,below-average,1996-2025 (30 yrs)
grate_SE,SE proximal grate across Bay,6.42,1,3.3333333333333335,2.966666666666667,7.333333333333333,below-average,1996-2025 (30 yrs)
corner_SE,SE corner across Bay,6.46,1,3.0,2.7666666666666666,6.766666666666667,below-average,1996-2025 (30 yrs)
corner_SW,SW corner across Bay,6.46,1,3.0,2.7666666666666666,6.766666666666667,below-average,1996-2025 (30 yrs)
grate_bay_ave_upstream,Bay Ave upstream grate,6.46,1,3.0,2.7666666666666666,6.766666666666667,below-average,1996-2025 (30 yrs)
gutter_walkway,Gutter / curb edge at walkway,6.6,1,2.3666666666666667,2.1666666666666665,5.166666666666667,below-average,1996-2025 (30 yrs)
grate_NE,Storm grate at user's corner (NE),6.62,1,2.2333333333333334,2.033333333333333,4.933333333333334,below-average,1996-2025 (30 yrs)
grate_NW,NW corner grate across Central,6.62,1,2.2333333333333334,2.033333333333333,4.933333333333334,below-average,1996-2025 (30 yrs)
corner_NE,NE corner pavement,6.73,1,1.8,1.6666666666666667,4.0,below-average,1996-2025 (30 yrs)
corner_NW,NW corner pavement,6.73,1,1.8,1.6666666666666667,4.0,below-average,1996-2025 (30 yrs)
curb,Curb at walkway,6.98,1,1.2666666666666666,1.1333333333333333,2.7,above-average,1996-2025 (30 yrs)
sidewalk_under_walkway_lawn_step,Sidewalk under walkway lawn-step,7.15,1,0.9666666666666667,0.9333333333333333,1.9666666666666666,above-average,1996-2025 (30 yrs)
road_middle,Bay Ave road middle,7.18,1,0.9,0.8666666666666667,1.8,above-average,1996-2025 (30 yrs)
intersection_highpoint,Intersection high point,7.36,1,0.7333333333333333,0.7,1.3,above-average,1996-2025 (30 yrs)
lawn_step,Lawn / walkway step,7.48,1,0.6,0.5666666666666667,1.0333333333333334,wettest month,1996-2025 (30 yrs)
porch_step_base,Bottom of porch steps,7.5,1,0.6,0.5666666666666667,0.9666666666666667,wettest month,1996-2025 (30 yrs)
porch_step1_top,Top of first porch step,8.23,1,0.03333333333333333,0.03333333333333333,0.03333333333333333,above-average,1996-2025 (30 yrs)
porch_deck,Porch deck (platform),10.9,1,0.0,0.0,0.0,quietest month,1996-2025 (30 yrs)
grate_SW,SW distal grate across Bay,6.34,2,3.3,2.566666666666667,6.833333333333333,quietest month,1996-2025 (30 yrs)
grate_SE,SE proximal grate across Bay,6.42,2,2.933333333333333,2.3,5.933333333333334,quietest month,1996-2025 (30 yrs)
corner_SE,SE corner across Bay,6.46,2,2.6333333333333333,2.066666666666667,5.366666666666666,quietest month,1996-2025 (30 yrs)
corner_SW,SW corner across Bay,6.46,2,2.6333333333333333,2.066666666666667,5.366666666666666,quietest month,1996-2025 (30 yrs)
grate_bay_ave_upstream,Bay Ave upstream grate,6.46,2,2.6333333333333333,2.066666666666667,5.366666666666666,quietest month,1996-2025 (30 yrs)
gutter_walkway,Gutter / curb edge at walkway,6.6,2,1.9,1.6,3.9,quietest month,1996-2025 (30 yrs)
grate_NE,Storm grate at user's corner (NE),6.62,2,1.8333333333333333,1.5333333333333334,3.7666666666666666,quietest month,1996-2025 (30 yrs)
grate_NW,NW corner grate across Central,6.62,2,1.8333333333333333,1.5333333333333334,3.7666666666666666,quietest month,1996-2025 (30 yrs)
corner_NE,NE corner pavement,6.73,2,1.4333333333333333,1.1666666666666667,2.966666666666667,quietest month,1996-2025 (30 yrs)
corner_NW,NW corner pavement,6.73,2,1.4333333333333333,1.1666666666666667,2.966666666666667,quietest month,1996-2025 (30 yrs)
curb,Curb at walkway,6.98,2,0.8666666666666667,0.7333333333333333,1.8,below-average,1996-2025 (30 yrs)
sidewalk_under_walkway_lawn_step,Sidewalk under walkway lawn-step,7.15,2,0.7,0.6,1.1666666666666667,above-average,1996-2025 (30 yrs)
road_middle,Bay Ave road middle,7.18,2,0.6333333333333333,0.5333333333333333,1.1,above-average,1996-2025 (30 yrs)
intersection_highpoint,Intersection high point,7.36,2,0.36666666666666664,0.3333333333333333,0.6666666666666666,below-average,1996-2025 (30 yrs)
lawn_step,Lawn / walkway step,7.48,2,0.3,0.26666666666666666,0.5333333333333333,above-average,1996-2025 (30 yrs)
porch_step_base,Bottom of porch steps,7.5,2,0.3,0.26666666666666666,0.5333333333333333,above-average,1996-2025 (30 yrs)
porch_step1_top,Top of first porch step,8.23,2,0.0,0.0,0.0,quietest month,1996-2025 (30 yrs)
porch_deck,Porch deck (platform),10.9,2,0.0,0.0,0.0,below-average,1996-2025 (30 yrs)
grate_SW,SW distal grate across Bay,6.34,3,4.633333333333334,3.9,9.466666666666667,below-average,1996-2025 (30 yrs)
grate_SE,SE proximal grate across Bay,6.42,3,3.8,3.1666666666666665,7.9,below-average,1996-2025 (30 yrs)
corner_SE,SE corner across Bay,6.46,3,3.6666666666666665,3.1,7.466666666666667,below-average,1996-2025 (30 yrs)
corner_SW,SW corner across Bay,6.46,3,3.6666666666666665,3.1,7.466666666666667,below-average,1996-2025 (30 yrs)
grate_bay_ave_upstream,Bay Ave upstream grate,6.46,3,3.6666666666666665,3.1,7.466666666666667,below-average,1996-2025 (30 yrs)
gutter_walkway,Gutter / curb edge at walkway,6.6,3,2.8,2.3666666666666667,5.7,below-average,1996-2025 (30 yrs)
grate_NE,Storm grate at user's corner (NE),6.62,3,2.8,2.3666666666666667,5.533333333333333,above-average,1996-2025 (30 yrs)
grate_NW,NW corner grate across Central,6.62,3,2.8,2.3666666666666667,5.533333333333333,above-average,1996-2025 (30 yrs)
corner_NE,NE corner pavement,6.73,3,2.1666666666666665,1.8,4.133333333333334,above-average,1996-2025 (30 yrs)
corner_NW,NW corner pavement,6.73,3,2.1666666666666665,1.8,4.133333333333334,above-average,1996-2025 (30 yrs)
curb,Curb at walkway,6.98,3,0.9,0.8,2.0,below-average,1996-2025 (30 yrs)
sidewalk_under_walkway_lawn_step,Sidewalk under walkway lawn-step,7.15,3,0.6,0.5333333333333333,1.3666666666666667,below-average,1996-2025 (30 yrs)
road_middle,Bay Ave road middle,7.18,3,0.6,0.5333333333333333,1.3,above-average,1996-2025 (30 yrs)
intersection_highpoint,Intersection high point,7.36,3,0.4666666666666667,0.43333333333333335,0.9333333333333333,above-average,1996-2025 (30 yrs)
lawn_step,Lawn / walkway step,7.48,3,0.4,0.36666666666666664,0.7666666666666667,above-average,1996-2025 (30 yrs)
porch_step_base,Bottom of porch steps,7.5,3,0.4,0.36666666666666664,0.7,above-average,1996-2025 (30 yrs)
porch_step1_top,Top of first porch step,8.23,3,0.06666666666666667,0.06666666666666667,0.1,wettest month,1996-2025 (30 yrs)
porch_deck,Porch deck (platform),10.9,3,0.0,0.0,0.0,below-average,1996-2025 (30 yrs)
grate_SW,SW distal grate across Bay,6.34,4,4.666666666666667,3.8333333333333335,9.6,below-average,1996-2025 (30 yrs)
grate_SE,SE proximal grate across Bay,6.42,4,4.033333333333333,3.2666666666666666,7.9,below-average,1996-2025 (30 yrs)
corner_SE,SE corner across Bay,6.46,4,3.7,3.033333333333333,7.3,below-average,1996-2025 (30 yrs)
corner_SW,SW corner across Bay,6.46,4,3.7,3.033333333333333,7.3,below-average,1996-2025 (30 yrs)
grate_bay_ave_upstream,Bay Ave upstream grate,6.46,4,3.7,3.033333333333333,7.3,below-average,1996-2025 (30 yrs)
gutter_walkway,Gutter / curb edge at walkway,6.6,4,2.7333333333333334,2.3666666666666667,5.166666666666667,below-average,1996-2025 (30 yrs)
grate_NE,Storm grate at user's corner (NE),6.62,4,2.566666666666667,2.2,4.766666666666667,below-average,1996-2025 (30 yrs)
grate_NW,NW corner grate across Central,6.62,4,2.566666666666667,2.2,4.766666666666667,below-average,1996-2025 (30 yrs)
corner_NE,NE corner pavement,6.73,4,2.0,1.7666666666666666,3.8666666666666667,below-average,1996-2025 (30 yrs)
corner_NW,NW corner pavement,6.73,4,2.0,1.7666666666666666,3.8666666666666667,below-average,1996-2025 (30 yrs)
curb,Curb at walkway,6.98,4,1.1666666666666667,1.0666666666666667,1.9,above-average,1996-2025 (30 yrs)
sidewalk_under_walkway_lawn_step,Sidewalk under walkway lawn-step,7.15,4,0.7333333333333333,0.7666666666666667,1.2333333333333334,above-average,1996-2025 (30 yrs)
road_middle,Bay Ave road middle,7.18,4,0.6333333333333333,0.6666666666666666,1.1333333333333333,above-average,1996-2025 (30 yrs)
intersection_highpoint,Intersection high point,7.36,4,0.4,0.4,0.6666666666666666,above-average,1996-2025 (30 yrs)
lawn_step,Lawn / walkway step,7.48,4,0.3333333333333333,0.3333333333333333,0.5333333333333333,above-average,1996-2025 (30 yrs)
porch_step_base,Bottom of porch steps,7.5,4,0.3333333333333333,0.3333333333333333,0.5333333333333333,above-average,1996-2025 (30 yrs)
porch_step1_top,Top of first porch step,8.23,4,0.0,0.0,0.0,below-average,1996-2025 (30 yrs)
porch_deck,Porch deck (platform),10.9,4,0.0,0.0,0.0,below-average,1996-2025 (30 yrs)
grate_SW,SW distal grate across Bay,6.34,5,4.366666666666666,4.133333333333334,8.966666666666667,below-average,1996-2025 (30 yrs)
grate_SE,SE proximal grate across Bay,6.42,5,3.6666666666666665,3.5,7.233333333333333,below-average,1996-2025 (30 yrs)
corner_SE,SE corner across Bay,6.46,5,3.4,3.2333333333333334,6.733333333333333,below-average,1996-2025 (30 yrs)
corner_SW,SW corner across Bay,6.46,5,3.4,3.2333333333333334,6.733333333333333,below-average,1996-2025 (30 yrs)
grate_bay_ave_upstream,Bay Ave upstream grate,6.46,5,3.4,3.2333333333333334,6.733333333333333,below-average,1996-2025 (30 yrs)
gutter_walkway,Gutter / curb edge at walkway,6.6,5,2.5,2.433333333333333,4.666666666666667,below-average,1996-2025 (30 yrs)
grate_NE,Storm grate at user's corner (NE),6.62,5,2.3333333333333335,2.2666666666666666,4.366666666666666,below-average,1996-2025 (30 yrs)
grate_NW,NW corner grate across Central,6.62,5,2.3333333333333335,2.2666666666666666,4.366666666666666,below-average,1996-2025 (30 yrs)
corner_NE,NE corner pavement,6.73,5,1.7,1.6333333333333333,3.033333333333333,below-average,1996-2025 (30 yrs)
corner_NW,NW corner pavement,6.73,5,1.7,1.6333333333333333,3.033333333333333,below-average,1996-2025 (30 yrs)
curb,Curb at walkway,6.98,5,1.0,0.9333333333333333,1.5333333333333334,above-average,1996-2025 (30 yrs)
