stage_in_vs_sw_grate,elev_navd88,wet_area_cells,marginal_area_cells
0.0,3.52,273,273
0.1,3.5283,445,172
0.2,3.5367,611,166
0.3,3.545,770,159
0.4,3.5533,922,152
0.5,3.5617,1060,138
0.6,3.57,1202,142
0.7,3.5783,1327,125
0.8,3.5867,1442,115
0.9,3.595,1561,119
1.0,3.6033,1665,104
1.1,3.6117,1763,98
1.2,3.62,1854,91
1.3,3.6283,1933,79
1.4,3.6367,2004,71
1.5,3.645,2079,75
1.6,3.6533,2156,77
1.7,3.6617,2220,64
1.8,3.67,2298,78
1.9,3.6783,2379,81
2.0,3.6867,2455,76
2.1,3.695,2533,78
2.2,3.7033,2619,86
2.3,3.7117,2713,94
2.4,3.72,2795,82
2.5,3.7283,2890,95
2.6,3.7367,2981,91
2.7,3.745,3077,96
2.8,3.7533,3185,108
2.9,3.7617,3327,142
3.0,3.77,3493,166
3.1,3.7783,3655,162
3.2,3.7867,3846,191
3.3,3.795,4055,209
3.4,3.8033,4279,224
3.5,3.8117,4517,238
3.6,3.82,4757,240
3.7,3.8283,4987,230
3.8,3.8367,5250,263
3.9,3.845,5501,251
4.0,3.8533,5751,250
4.1,3.8617,6012,261
4.2,3.87,6291,279
4.3,3.8783,6598,307
4.4,3.8867,6888,290
4.5,3.895,7213,325
4.6,3.9033,7568,355
4.7,3.9117,7942,374
4.8,3.92,8372,430
4.9,3.9283,8805,433
5.0,3.9367,9266,461
5.1,3.945,9730,464
5.2,3.9533,10207,477
5.3,3.9617,10712,505
5.4,3.97,11219,507
5.5,3.9783,11754,535
5.6,3.9867,12285,531
5.7,3.995,12845,560
5.8,4.0033,13418,573
5.9,4.0117,14013,595
6.0,4.02,14599,586
6.1,4.0283,15204,605
6.2,4.0367,15817,613
6.3,4.045,16456,639
6.4,4.0533,17088,632
6.5,4.0617,17737,649
6.6,4.07,18372,635
6.7,4.0783,19041,669
6.8,4.0867,19700,659
6.9,4.095,20386,686
7.0,4.1033,21146,760
7.1,4.1117,22012,866
7.2,4.12,22882,870
7.3,4.1283,23960,1078
7.4,4.1367,25444,1484
7.5,4.145,27216,1772
7.6,4.1533,28493,1277
7.7,4.1617,29302,809
7.8,4.17,30126,824
7.9,4.1783,30947,821
8.0,4.1867,31791,844
8.1,4.195,32724,933
8.2,4.2033,33690,966
8.3,4.2117,34675,985
8.4,4.22,35701,1026
8.5,4.2283,36725,1024
8.6,4.2367,37812,1087
8.7,4.245,38903,1091
8.8,4.2533,40010,1107
8.9,4.2617,41133,1123
9.0,4.27,42252,1119
9.1,4.2783,43350,1098
9.2,4.2867,44446,1096
9.3,4.295,45526,1080
9.4,4.3033,46619,1093
9.5,4.3117,47684,1065
9.6,4.32,48747,1063
9.7,4.3283,49801,1054
9.8,4.3367,50834,1033
9.9,4.345,51831,997
10.0,4.3533,52806,975
10.1,4.3617,53752,946
10.2,4.37,54662,910
10.3,4.3783,55538,876
